"Date","Price","Open","High","Low","Change %"
"12/01/2023","5.388","5.416","5.440","5.377","-0.28%"
"11/30/2023","5.403","5.420","5.442","5.401","-0.02%"
"11/29/2023","5.404","5.428","5.428","5.404","-0.39%"
"11/28/2023","5.425","5.442","5.442","5.420","0.02%"
"11/27/2023","5.424","5.428","5.453","5.409","0.00%"
"11/24/2023","5.424","5.438","5.449","5.410","-0.31%"
"11/23/2023","5.441","5.443","5.443","5.441","0.21%"
"11/22/2023","5.429","5.429","5.461","5.409","0.18%"
"11/21/2023","5.419","5.433","5.437","5.406","0.26%"
"11/20/2023","5.405","5.411","5.494","5.405","0.07%"
"11/17/2023","5.401","5.429","5.448","5.398","-0.13%"
"11/16/2023","5.408","5.448","5.476","5.403","-0.22%"
"11/15/2023","5.420","5.420","5.451","5.420","0.06%"
"11/14/2023","5.417","5.468","5.502","5.415","-0.17%"
"11/13/2023","5.426","5.440","5.460","5.424","0.28%"
"11/10/2023","5.411","5.448","5.477","5.411","-0.33%"
"11/09/2023","5.429","5.456","5.482","5.424","-0.07%"
"11/08/2023","5.433","5.490","5.490","5.433","-0.18%"
"11/07/2023","5.443","5.450","5.496","5.441","0.31%"
"11/06/2023","5.426","5.443","5.468","5.421","-0.07%"
"11/03/2023","5.430","5.435","5.469","5.417","-0.18%"
"11/02/2023","5.440","5.497","5.518","5.437","-0.49%"
"11/01/2023","5.467","5.495","5.464","5.462","-0.38%"
"10/31/2023","5.488","5.497","5.512","5.486","0.13%"
"10/30/2023","5.481","5.472","5.505","5.458","0.07%"
"10/27/2023","5.477","5.477","5.508","5.456","-0.04%"
"10/26/2023","5.479","5.483","5.527","5.459","-0.05%"
"10/25/2023","5.482","5.462","5.467","5.462","0.04%"
"10/24/2023","5.480","5.466","5.479","5.458","0.27%"
"10/23/2023","5.465","5.477","5.520","5.463","-0.11%"
"10/20/2023","5.471","5.500","5.523","5.461","-0.29%"
"10/19/2023","5.487","5.516","5.547","5.479","-0.20%"
"10/18/2023","5.498","5.514","5.514","5.495","-0.24%"
"10/17/2023","5.511","5.523","5.523","5.504","0.25%"
"10/16/2023","5.497","5.513","5.549","5.494","0.00%"
"10/13/2023","5.497","5.523","5.555","5.495","-0.24%"
"10/12/2023","5.510","5.519","5.557","5.500","0.13%"
"10/11/2023","5.503","5.494","5.561","5.494","0.13%"
"10/10/2023","5.496","5.528","5.561","5.490","-0.62%"
"10/09/2023","5.530","5.525","5.530","5.525","0.24%"
"10/06/2023","5.517","5.518","5.567","5.504","0.27%"
"10/05/2023","5.502","5.519","5.570","5.500","-0.02%"
"10/04/2023","5.503","5.506","5.506","5.498","-0.11%"
